filename,complexity,entropy
UL (1).png,0.2335012473,0.6101457788
UL (10).png,0.2157788432,0.6042554158
UL (11).png,0.2078636911,0.6399048858
UL (12).png,0.1803203309,0.7103092745
UL (13).png,0.2263786887,0.6175710675
UL (14).png,0.2185901729,0.6330961332
UL (15).png,0.1946383227,0.7050079652
UL (16).png,0.1951129372,0.6840785743
UL (17).png,0.1887749601,0.7006700097
UL (18).png,0.2189161323,0.6172267549
UL (19).png,0.2294284202,0.5888520574
UL (2).png,0.2280855523,0.5411801826
UL (20).png,0.2153107017,0.6725150692
UL (21).png,0.2456743729,0.5429609036
UL (22).png,0.2160073545,0.6356222387
UL (23).png,0.2273815588,0.6115876957
UL (24).png,0.2072527144,0.6639265202
UL (25).png,0.2115017559,0.6142479849
UL (26).png,0.2252858598,0.6110902358
UL (27).png,0.2165500998,0.6311439188
UL (28).png,0.1880673025,0.7012003814
UL (29).png,0.2181903693,0.6352143662
UL (3).png,0.1786032361,0.7360985180
UL (30).png,0.2077374896,0.6351034593
UL (31).png,0.2332580131,0.5629085091
UL (32).png,0.1865349828,0.6906354272
UL (33).png,0.1525631243,0.8599872984
UL (34).png,0.1980979965,0.6559338254
UL (35).png,0.1981643041,0.6742789539
UL (36).png,0.1968936771,0.7020110337
UL (37).png,0.2100705060,0.5970821997
UL (38).png,0.2142270123,0.6408233810
UL (39).png,0.1762824752,0.7374263554
UL (4).png,0.2267442352,0.6220106518
UL (40).png,0.1922031699,0.7206884389
UL (5).png,0.2189206475,0.5778754538
UL (6).png,0.1948425304,0.6872843808
UL (7).png,0.2206189644,0.6219081737
UL (8).png,0.2350553574,0.5691487907
UL (9).png,0.1994828892,0.6728291486
